tstat,pval,mean_diff,steps
-26.809522945317383,3.3905515611655145e-91,-0.00805595397506749,4
-75.7557858824169,1.550711751215404e-238,-0.023380122975104306,6
-89.23946799695352,2.8349815137762143e-265,-0.055632985554852854,8
,,,10
,,,12
,,,14
,,,16
,,,18
,,,20
