tstat,pval,mean_diff,steps
-20.7226586100162,3.10101101423104e-65,-0.02379684565004482,4
-21.286725901951023,1.1110937571209165e-67,-0.038694752220021666,6
-30.950081160810637,5.4913143770300195e-108,-0.057569315680038924,8
-34.68046961096116,2.402182637469793e-122,-0.08313954405995447,10
,,,12
,,,14
,,,16
,,,18
,,,20
