Wed Jan 29 11:39:58 2020    profiler/prof/out_tmp.prof

         3014145 function calls (3013200 primitive calls) in 11.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10416    7.114    0.001    7.114    0.001 {built-in method swiglpk._swiglpk.glp_simplex}
      100    0.697    0.007    7.970    0.080 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\kamenev.py:134(_v_h_rep_given_init_simplex)
      746    0.209    0.000    0.209    0.000 {built-in method nt.open}
    10268    0.176    0.000    0.310    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpinstance.py:486(set_minimize_direction)
    22341    0.174    0.000    0.474    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2522(within_tol)
   211625    0.162    0.000    0.162    0.000 {built-in method numpy.core.multiarray.array}
    72384    0.153    0.000    0.153    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    10416    0.095    0.000    0.159    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpinstance.py:659(_process_simplex_result)
    22341    0.089    0.000    0.825    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2463(isclose)
      100    0.089    0.001    9.005    0.090 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpplot.py:38(get_verts)
     8836    0.085    0.000    6.292    0.001 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpplot.py:126(supp_point_nd)
    49288    0.083    0.000    0.196    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2667(seterr)
    49288    0.075    0.000    0.081    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2767(geterr)
    10416    0.068    0.000    7.674    0.001 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpinstance.py:540(minimize)
    67023    0.066    0.000    0.287    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:1973(all)
    46098    0.062    0.000    0.139    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:103(tic)
    21587    0.060    0.000    0.060    0.000 {built-in method numpy.core.multiarray.zeros}
    46098    0.056    0.000    0.120    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:134(toc)
     5738    0.046    0.000    0.180    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\compressed.py:128(check_format)
    46098    0.044    0.000    0.054    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:71(toc)
    45792    0.041    0.000    0.059    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:51(_swig_setattr_nondynamic)
    10416    0.039    0.000    0.108    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:283(__init__)
   160808    0.039    0.000    0.039    0.000 {built-in method swiglpk._swiglpk.glp_set_obj_coef}
    12427    0.038    0.000    0.086    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\sputils.py:119(get_index_dtype)
    22341    0.037    0.000    0.964    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2397(allclose)
    46098    0.036    0.000    0.044    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:60(tic)
    67023    0.034    0.000    0.181    0.000 {method 'all' of 'numpy.ndarray' objects}
5590/5390    0.033    0.000    0.308    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\compressed.py:25(__init__)
    22341    0.032    0.000    0.032    0.000 {built-in method numpy.core.multiarray.result_type}
     6038    0.031    0.000    0.064    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\compressed.py:1058(prune)
    26087    0.031    0.000    0.038    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2135(isscalar)
45231/44981    0.030    0.000    0.049    0.000 {built-in method builtins.abs}
    46097    0.027    0.000    0.027    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:27(get_child)
    10514    0.024    0.000    0.027    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:74(_swig_getattr)
   173470    0.024    0.000    0.024    0.000 {built-in method builtins.len}
    12427    0.023    0.000    0.023    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\getlimits.py:507(__init__)
   169697    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
    67023    0.021    0.000    0.147    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\_methods.py:40(_all)
    49288    0.021    0.000    0.021    0.000 {built-in method numpy.core.umath.seterrobj}
    67959    0.021    0.000    0.040    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:534(asanyarray)
    15438    0.020    0.000    0.024    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\util.py:19(__setattr__)
    81814    0.020    0.000    0.020    0.000 {built-in method builtins.isinstance}
    24644    0.019    0.000    0.107    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:3069(__exit__)
    24644    0.019    0.000    0.126    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:3064(__enter__)
    45792    0.018    0.000    0.077    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:70(_swig_setattr)
     8882    0.018    0.000    0.018    0.000 {built-in method numpy.core.multiarray.dot}
    24644    0.018    0.000    0.023    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:3060(__init__)
    92196    0.018    0.000    0.018    0.000 {built-in method time.perf_counter}
    98576    0.016    0.000    0.016    0.000 {built-in method numpy.core.umath.geterrobj}
    72120    0.016    0.000    0.016    0.000 {built-in method swiglpk._swiglpk.glp_get_col_prim}
     2009    0.016    0.000    0.037    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\arrayprint.py:668(__call__)
    41664    0.016    0.000    0.088    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:206(<lambda>)
    49860    0.014    0.000    0.045    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:463(asarray)
    27300    0.014    0.000    0.014    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\compressed.py:100(getnnz)
    26900    0.012    0.000    0.026    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\base.py:213(nnz)
     8836    0.012    0.000    0.012    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpplot.py:139(<listcomp>)
     5840    0.011    0.000    0.012    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\base.py:78(set_shape)
    10416    0.011    0.000    0.011    0.000 {built-in method swiglpk._swiglpk.new_glp_smcp}
    15120    0.010    0.000    0.010    0.000 {built-in method builtins.max}
    46098    0.010    0.000    0.010    0.000 {method 'pop' of 'list' objects}
    21811    0.009    0.000    0.010    0.000 {built-in method builtins.hasattr}
     3849    0.009    0.000    0.009    0.000 {built-in method numpy.core.multiarray.empty}
