Tue Jan 28 23:31:46 2020    profiler/prof/out_tmp.prof

         3014227 function calls (3013282 primitive calls) in 10.511 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10416    6.857    0.001    6.857    0.001 {built-in method swiglpk._swiglpk.glp_simplex}
      100    0.597    0.006    7.616    0.076 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\kamenev.py:134(_v_h_rep_given_init_simplex)
      746    0.206    0.000    0.206    0.000 {built-in method nt.open}
    22341    0.168    0.000    0.455    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2522(within_tol)
    10268    0.165    0.000    0.289    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpinstance.py:486(set_minimize_direction)
   211625    0.154    0.000    0.154    0.000 {built-in method numpy.core.multiarray.array}
    72384    0.148    0.000    0.148    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    22341    0.089    0.000    0.798    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2463(isclose)
    10416    0.088    0.000    0.148    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpinstance.py:659(_process_simplex_result)
     8836    0.082    0.000    6.065    0.001 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpplot.py:126(supp_point_nd)
    49288    0.078    0.000    0.185    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2667(seterr)
      100    0.077    0.001    8.599    0.086 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpplot.py:38(get_verts)
    49288    0.071    0.000    0.077    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2767(geterr)
    10416    0.067    0.000    7.387    0.001 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\lpinstance.py:540(minimize)
    67023    0.063    0.000    0.277    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:1973(all)
    46098    0.060    0.000    0.132    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:103(tic)
    21587    0.056    0.000    0.056    0.000 {built-in method numpy.core.multiarray.zeros}
    46098    0.054    0.000    0.113    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:134(toc)
     5738    0.043    0.000    0.169    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\compressed.py:128(check_format)
    46098    0.040    0.000    0.049    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:71(toc)
    45792    0.039    0.000    0.057    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:51(_swig_setattr_nondynamic)
    22341    0.038    0.000    0.934    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2397(allclose)
    10416    0.037    0.000    0.102    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:283(__init__)
    12427    0.036    0.000    0.081    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\sputils.py:119(get_index_dtype)
   160808    0.036    0.000    0.036    0.000 {built-in method swiglpk._swiglpk.glp_set_obj_coef}
    46098    0.033    0.000    0.041    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:60(tic)
    67023    0.032    0.000    0.175    0.000 {method 'all' of 'numpy.ndarray' objects}
    22341    0.031    0.000    0.031    0.000 {built-in method numpy.core.multiarray.result_type}
    26087    0.031    0.000    0.038    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:2135(isscalar)
5590/5390    0.031    0.000    0.288    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\compressed.py:25(__init__)
45231/44981    0.030    0.000    0.047    0.000 {built-in method builtins.abs}
     6038    0.030    0.000    0.061    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\scipy\sparse\compressed.py:1058(prune)
    46097    0.025    0.000    0.025    0.000 C:\Users\Nathan\Desktop\Thesis\hylaa\hylaa\timerutil.py:27(get_child)
    10514    0.023    0.000    0.025    0.000 C:\Users\Nathan\AppData\Local\Programs\Python\Python36-32\lib\site-packages\swiglpk\swiglpk.py:74(_swig_getattr)
   173470    0.022    0.000    0.022    0.000 {built-in method builtins.len}
